@relation probabilidad-uso

@attribute target-tiene numeric {0,1}
@attribute vecino-tiene numeric {0,1}
@attribute disc REAL
@attribute disc-gatt REAL
@attribute prob-uso REAL

@data
0,1,0.2916666666666667,0.25,0.11538461538461539
0,1,0.30333333333333334,0.25,0.1524390243902439
0,1,0.28055555555555556,0.25,0.07894736842105263
0,1,0.3388888888888889,0.25,0.13043478260869565
0,1,0.2833333333333333,0.3333333333333333,0.06666666666666667
0,1,0.345959595959596,0.3333333333333333,0.19186046511627908
0,1,0.2777777777777778,0.25,0.06040268456375839
0,1,0.27777777777777773,0.25,0.13043478260869565
0,1,0.28888888888888886,0.25,0.09803921568627451
0,1,0.31388888888888883,0.25,0.147239263803681
0,1,0.2888888888888889,0.25,0.09615384615384616
0,1,0.2982456140350877,0.3333333333333333,0.12025316455696203
0,1,0.3109756097560976,0.25,0.2265193370165746
0,1,0.2761904761904762,0.25,0.09090909090909091
0,1,0.32894736842105265,0.3333333333333333,0.11949685534591195
