@relation probabilidad-uso

@attribute target-tiene numeric {0,1}
@attribute vecino-tiene numeric {0,1}
@attribute disc REAL
@attribute disc-gatt REAL
@attribute prob-uso REAL

@data
0,0,0.0,0.0,0.0
0,0,0.30208333333333337,0.0,0.2926829268292683
0,0,0.0,0.0,0.0
0,0,0.33611111111111114,0.0,0.2608695652173913
0,0,0.0,0.0,0.0
0,0,0.31770833333333326,0.0,0.37209302325581395
0,0,0.0,0.0,0.0
0,0,0.2936507936507937,0.0,0.2608695652173913
0,0,0.0,0.0,0.0
0,0,0.28695652173913044,0.0,0.2822085889570552
0,0,0.27604166666666663,0.0,0.20512820512820512
0,0,0.0,0.0,0.0
0,0,0.29674796747967475,0.0,0.4530386740331492
0,0,0.0,0.0,0.0
0,0,0.3148148148148148,0.0,0.22641509433962265
