@relation probabilidad-uso

@attribute target-tiene numeric {0,1}
@attribute vecino-tiene numeric {0,1}
@attribute disc REAL
@attribute disc-gatt REAL
@attribute prob-uso REAL

@data
1,0,0.3117117117117118,0.25,0.23717948717948717
1,0,0.30787037037037046,0.25,0.21951219512195122
1,0,0.313425925925926,0.2,0.23684210526315788
1,0,0.3115942028985506,0.2,0.14285714285714285
0,1,0.25,0.25,0.04
0,1,0.26666666666666666,0.25,0.0872093023255814
0,1,0.25,1.0,0.040268456375838924
0,1,0.24444444444444446,0.5,0.09316770186335403
0,0,0.0,0.3333333333333333,0.0
0,0,0.0,0.25,0.0
0,0,0.0,0.3333333333333333,0.0
1,1,0.3183453237410074,0.25,0.879746835443038
1,1,0.3051643192488264,0.5,0.7845303867403315
1,1,0.30646766169154227,0.5,0.43506493506493504
1,1,0.3150684931506848,0.5,0.4591194968553459
