@relation probabilidad-uso

@attribute target-tiene numeric {0,1}
@attribute cant-prop-rel integer
@attribute noun-target-tiene integer
@attribute adj-target-tiene integer
@attribute rel-target-tiene integer
@attribute vecino-tiene numeric {0,1}
@attribute disc-gatt REAL
@attribute prob-uso REAL

@data
1,5,1,3,1,0,'0.3333333333333333','0.8846153846153846'
1,4,1,2,1,0,'0.3333333333333333','0.8475609756097561'
1,4,1,2,1,0,'0.3333333333333333','0.9210526315789473'
1,4,1,2,1,0,'0.3333333333333333','0.8695652173913043'
1,4,1,2,1,0,'0.25','0.9333333333333333'
1,4,1,2,1,0,'0.25','0.8081395348837209'
1,4,1,2,1,0,'0.3333333333333333','0.9395973154362416'
1,4,1,2,1,0,'0.3333333333333333','0.8695652173913043'
1,4,1,2,1,0,'0.3333333333333333','0.9019607843137255'
1,4,1,2,1,0,'0.3333333333333333','0.852760736196319'
1,4,1,2,1,0,'0.3333333333333333','0.9324324324324325'
1,4,1,2,1,0,'0.3333333333333333','0.9038461538461539'
1,4,1,2,1,0,'0.25','0.879746835443038'
1,4,1,2,1,0,'0.25','0.7734806629834254'
1,4,1,2,1,0,'0.5','0.9090909090909091'
1,4,1,2,1,0,'0.3333333333333333','0.8805031446540881'
