@relation probabilidad-uso

@attribute target-tiene numeric {0,1}
@attribute cant-prop-rel integer
@attribute noun-target-tiene integer
@attribute adj-target-tiene integer
@attribute rel-target-tiene integer
@attribute vecino-tiene numeric {0,1}
@attribute disc-gatt REAL
@attribute prob-uso REAL

@data
1,5,1,3,1,0,'0.3333333333333333','0.8910256410256411'
1,4,1,2,1,0,'0.3333333333333333','0.8292682926829268'
0,4,1,2,1,0,'0.3333333333333333',0.0
0,4,1,2,1,0,'0.3333333333333333',0.0
0,4,1,2,1,0,'0.3333333333333333','0.006666666666666667'
0,4,1,2,1,0,'0.3333333333333333',0.0
1,4,1,2,1,0,'0.3333333333333333','0.9328859060402684'
1,4,1,2,1,0,'0.5','0.8633540372670807'
0,4,1,2,1,0,'0.3333333333333333',0.0
0,4,1,2,1,0,'0.3333333333333333',0.0
1,4,1,2,1,0,'0.3333333333333333','0.9391891891891891'
1,4,1,2,1,0,'0.3333333333333333','0.8974358974358975'
1,4,1,2,1,0,'0.3333333333333333','0.8860759493670886'
1,4,1,2,1,0,'0.3333333333333333','0.7513812154696132'
0,4,1,2,1,0,'0.3333333333333333',0.0
0,4,1,2,1,0,'0.3333333333333333','0.006289308176100629'
